ProgId,pThreads,Mem_Hits,Mem_Misses,Mem_Latency,L1_Sets,L1_Latency,L1_Hits,L1_Misses,L2_Sets,L2_Latency,L2_Hits,L2_Misses,L3_Hits,L3_Misses,Instructions,InstructionsPerSecond,SimTime,Cycles,CyclesPerSecond,CommittedInstructions,CommittedInstructionsPerCycle,CommittedMicroInstructions,CommittedMicroInstructionsPerCycle,BranchPredictionAccuracy
12,1,0.0,3607.0,200,64,3,96668.0,3607.0,1024,18,2095.0,0,0.0,4077.0,678394,18904,310192.00,1240768,34575,296229,0.2387,498101,0.4014,0.8475
12,1,0.0,3607.0,200,128,3,97302.0,3607.0,1024,25,1127.0,0,0.0,4037.0,676035,19060,311420.00,1245680,35121,296205,0.2378,498061,0.3998,0.8492
12,1,0.0,3606.0,250,64,3,96596.0,3606.0,2048,25,2094.0,0,0.0,4076.0,677691,18352,345757.00,1383028,37452,296221,0.2142,498084,0.3601,0.8476
12,1,0.0,3617.0,250,128,4,93246.0,3617.0,1024,25,1024.0,0,0.0,4044.0,683303,18452,351870.25,1407481,38008,296242,0.2105,498120,0.3539,0.8476
12,1,0.0,3608.0,300,64,4,92711.0,3608.0,2048,25,2089.0,0,0.0,4078.0,682275,17675,388247.25,1552989,40231,296229,0.1907,498101,0.3207,0.8468
12,2,0.0,3606.0,200,64,3,96968.0,3606.0,1024,18,2110.0,0,129.0,4196.0,682584,18880,311958.00,1247832,34515,297654,0.2385,501006,0.4015,0.8472
12,2,0.0,3603.0,200,128,3,97535.0,3603.0,1024,25,1138.0,0,129.0,4154.0,680124,19045,313593.00,1254372,35124,297610,0.2373,500939,0.3994,0.849
12,2,0.0,3606.0,250,64,3,96895.0,3606.0,2048,25,2114.0,0,129.0,4196.0,681849,18273,347534.00,1390136,37254,297631,0.2141,500975,0.3604,0.8474
12,2,0.0,3612.0,250,128,4,93541.0,3612.0,1024,25,1032.0,0,130.0,4163.0,687342,18309,354085.25,1416341,37727,297607,0.2101,500935,0.3537,0.8474
12,2,0.0,3605.0,300,64,4,93045.0,3606.0,2048,25,2102.0,0,128.0,4195.0,686274,17531,389937.25,1559749,39845,297607,0.1908,500935,0.3212,0.8466
12,1,0.0,3617.0,200,64,3,123961.0,3617.0,1024,18,2520.0,0,0.0,4092.0,798851,19198,330263.00,1321052,31747,370243,0.2803,631726,0.4782,0.8625
12,1,0.0,3617.0,200,128,3,124259.0,3617.0,1024,25,1133.0,0,0.0,4053.0,796437,19202,329849.00,1319396,31811,370210,0.2806,631673,0.4788,0.8638
12,1,0.0,3617.0,250,64,3,124001.0,3617.0,2048,25,2517.0,0,0.0,4092.0,797466,18439,366827.00,1467308,33927,370207,0.2523,631669,0.4305,0.8627
12,1,0.0,3627.0,250,128,4,119208.0,3627.0,1024,25,1032.0,0,0.0,4057.0,806669,18822,374800.25,1499201,34981,370207,0.2469,631669,0.4213,0.862
12,1,0.0,3619.0,300,64,4,118991.0,3619.0,2048,25,2512.0,0,0.0,4094.0,805668,17990,413246.25,1652985,36910,370234,0.224,631713,0.3822,0.8612
12,2,0.0,3616.0,200,64,3,123840.0,3616.0,1024,18,2532.0,0,134.0,4219.0,802626,19150,331877.00,1327508,31674,371619,0.2799,634563,0.478,0.8624
12,2,0.0,3615.0,200,128,3,124230.0,3616.0,1024,25,1133.0,0,133.0,4169.0,800425,19250,331528.00,1326112,31893,371643,0.2803,634603,0.4785,0.8636
12,2,0.0,3617.0,250,64,3,123907.0,3617.0,2048,25,2534.0,0,134.0,4220.0,801381,18378,368365.00,1473460,33790,371619,0.2522,634563,0.4307,0.8625
12,2,0.0,3620.0,250,128,4,119208.0,3620.0,1024,25,1040.0,0,134.0,4177.0,810843,18566,376336.25,1505345,34467,371619,0.2469,634563,0.4215,0.8617
12,2,0.0,3617.0,300,64,4,118954.0,3617.0,2048,25,2529.0,0,134.0,4220.0,809437,17749,414639.25,1658557,36368,371619,0.2241,634563,0.3826,0.8611
12,4,0.0,3656.0,200,64,3,124412.0,3657.0,1024,18,2587.0,0,289.0,4309.0,812364,19110,334792.00,1339168,31502,374732,0.2798,640855,0.4785,0.8615
12,4,0.0,3656.0,200,128,3,124794.0,3656.0,1024,25,1164.0,0,291.0,4239.0,809763,19133,334343.00,1337372,31599,374729,0.2802,640851,0.4792,0.8628
12,4,0.0,3655.0,250,64,3,124492.0,3657.0,2048,25,2591.0,0,281.0,4307.0,812074,18256,371938.00,1487752,33445,374732,0.2519,640855,0.4308,0.8616
12,4,0.0,3662.0,250,128,4,119808.0,3663.0,1024,25,1068.0,0,289.0,4254.0,821129,18601,379651.25,1518605,34401,374756,0.2468,640895,0.422,0.8608
12,4,0.0,3654.0,300,64,4,119542.0,3656.0,2048,25,2574.0,0,285.0,4297.0,819795,17844,418604.25,1674417,36446,374725,0.2238,640839,0.3827,0.8603
12,1,0.0,3613.0,200,64,3,239725.0,4586.0,1024,18,4283.0,0,0.0,4117.0,1322303,19301,414589.00,1658356,24207,685755,0.4135,1200158,0.7237,0.888
12,1,0.0,3618.0,200,128,3,239939.0,3618.0,1024,25,1009.0,0,0.0,4042.0,1323707,19540,405102.00,1620408,23920,685776,0.4232,1200194,0.7407,0.8887
12,1,0.0,3612.0,250,64,3,240358.0,4584.0,2048,25,4282.0,0,0.0,4116.0,1321936,19003,454799.00,1819196,26151,685752,0.377,1200154,0.6597,0.888
12,1,0.0,3624.0,250,128,4,229853.0,3624.0,1024,25,1051.0,0,0.0,4057.0,1346969,19151,469597.25,1878389,26707,685789,0.3651,1200213,0.639,0.8863
12,1,0.0,3615.0,300,64,4,230583.0,4590.0,2048,25,4287.0,0,0.0,4118.0,1339969,18462,516739.25,2066957,28478,685776,0.3318,1200194,0.5807,0.8861
12,2,0.0,3637.0,200,64,3,237023.0,4688.0,1024,18,4308.0,0,145.0,4282.0,1327100,19326,415976.00,1663904,24230,687330,0.4131,1203338,0.7232,0.8878
12,2,0.0,3643.0,200,128,3,237118.0,3644.0,1024,25,989.0,0,145.0,4211.0,1328570,19766,406471.00,1625884,24189,687324,0.4227,1203330,0.7401,0.8884
12,2,0.0,3637.0,250,64,3,237659.0,4688.0,2048,25,4309.0,0,145.0,4282.0,1327040,18672,456498.00,1825992,25692,687348,0.3764,1203370,0.659,0.8877
12,2,0.0,3645.0,250,128,4,227481.0,3646.0,1024,25,1070.0,0,143.0,4200.0,1351902,19140,470792.25,1883169,26662,687343,0.365,1203357,0.639,0.886
12,2,0.0,3639.0,300,64,4,228193.0,4695.0,2048,25,4314.0,0,145.0,4282.0,1345071,18272,518211.25,2072845,28158,687354,0.3316,1203378,0.5805,0.8858
12,4,0.0,3675.0,200,64,3,236262.0,4696.0,1024,18,4353.0,0,298.0,4353.0,1336661,19159,417739.00,1670956,23951,690458,0.4132,1209658,0.7239,0.8871
12,4,0.0,3680.0,200,128,3,236489.0,3681.0,1024,25,1015.0,0,303.0,4267.0,1337835,19535,408378.00,1633512,23853,690458,0.4227,1209658,0.7405,0.8877
12,4,0.0,3673.0,250,64,3,236894.0,4675.0,2048,25,4349.0,0,303.0,4345.0,1336045,18783,458668.00,1834672,25793,690440,0.3763,1209626,0.6593,0.8871
12,4,0.0,3683.0,250,128,4,226891.0,3698.0,1024,25,1095.0,0,303.0,4276.0,1361251,19308,473061.25,1892245,26839,690437,0.3649,1209622,0.6393,0.8854
12,4,0.0,3675.0,300,64,4,227673.0,4685.0,2048,25,4351.0,0,296.0,4336.0,1354424,18569,520348.25,2081393,28536,690450,0.3317,1209641,0.5812,0.8852
12,8,0.0,3778.0,200,64,3,238820.0,4803.0,1024,18,4474.0,0,640.0,4565.0,1363573,18998,428440.00,1713760,23877,701864,0.4095,1232802,0.7194,0.8867
